Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Quixadá;AC. CEDRO;-4.9798888888889;-39.08;1988;1;44.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;7.0;999.0;999.0;999.0;999.0;999.0;5.0;999.0;999.0;999.0;999.0;4.0;999.0;7.0;4.0;4.0;8.0;999.0;5.0;999.0;999.0
Quixadá;AC. CEDRO;-4.9798888888889;-39.08;1988;2;64.0;999.0;999.0;999.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;999.0;999.0;999.0;999.0;999.0;12.0;19.0;999.0;999.0;999.0;5.0;0.0;18.0;9.0;999.0;999.0;1.0;888.0;888.0
Quixadá;AC. CEDRO;-4.9798888888889;-39.08;1988;3;73.2;2.0;5.0;0.0;999.0;999.0;999.0;999.0;3.0;999.0;0.0;6.0;999.0;999.0;3.0;2.2;6.0;999.0;0.0;999.0;999.0;15.0;17.0;999.0;999.0;8.0;999.0;999.0;999.0;6.0;999.0;999.0
Quixadá;AC. CEDRO;-4.9798888888889;-39.08;1988;4;262.0;999.0;999.0;999.0;0.0;0.0;999.0;999.0;5.0;999.0;999.0;999.0;999.0;35.0;25.0;32.0;999.0;999.0;999.0;8.0;3.0;6.0;14.0;999.0;999.0;65.0;999.0;6.0;999.0;63.0;999.0;888.0
Quixadá;AC. CEDRO;-4.9798888888889;-39.08;1988;5;180.0;999.0;24.0;9.0;17.0;62.0;6.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;17.0;3.0;999.0;999.0;8.0;999.0;999.0;31.0;3.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
Quixadá;AC. CEDRO;-4.9798888888889;-39.08;1988;6;6.8;999.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.8;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
Quixadá;AC. CEDRO;-4.9798888888889;-39.08;1988;10;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0
Quixadá;AC. CEDRO;-4.9798888888889;-39.08;1988;12;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixadá;AC. CEDRO;-4.9798888888889;-39.08;1990;2;40.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;40.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0;888.0;888.0
Quixadá;AC. CEDRO;-4.9798888888889;-39.08;1990;3;9.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;9.0;999.0;999.0
