Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Santana do Acaraú;ACUDE SAO VICENTE;-3.3968333333333;-40.262722222222;2022;1;135.0;22.6;24.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;2.8;0.0;0.0;12.8;1.0;0.0;0.0;0.0;0.0;52.0;0.0;0.0;0.0;1.0;7.0;8.4;0.0;0.0;0.0
Santana do Acaraú;ACUDE SAO VICENTE;-3.3968333333333;-40.262722222222;2022;2;60.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;15.8;0.0;0.0;0.0;0.0;0.0;0.0;3.6;0.0;0.0;0.8;15.6;0.0;0.0;0.0;0.0;0.0;7.2;0.0;0.0;0.0;888.0;888.0;888.0
Santana do Acaraú;ACUDE SAO VICENTE;-3.3968333333333;-40.262722222222;2022;3;463.0;0.0;0.0;0.0;0.0;0.0;23.6;0.0;0.0;0.0;0.0;16.2;8.4;15.8;7.4;0.0;23.8;33.0;20.0;28.0;68.0;45.4;13.4;0.0;11.4;10.6;38.2;13.4;82.8;2.4;0.8;0.4
Santana do Acaraú;ACUDE SAO VICENTE;-3.3968333333333;-40.262722222222;2022;4;270.6;1.0;5.4;33.0;27.0;5.2;35.6;9.8;0.0;0.0;0.0;40.2;4.2;0.0;0.0;0.0;0.0;0.0;1.2;12.2;2.4;8.6;46.8;1.2;25.8;0.0;5.0;3.4;2.6;0.0;0.0;888.0
Santana do Acaraú;ACUDE SAO VICENTE;-3.3968333333333;-40.262722222222;2022;5;188.0;0.0;0.0;9.0;0.0;0.0;8.4;0.0;0.0;10.2;26.2;0.0;1.4;0.0;27.8;0.0;0.0;0.0;3.6;0.0;6.0;0.0;9.2;9.2;0.0;15.6;0.0;0.0;0.0;11.2;0.0;50.2
Santana do Acaraú;ACUDE SAO VICENTE;-3.3968333333333;-40.262722222222;2022;6;94.0;6.0;0.0;5.4;53.0;0.0;0.0;0.0;1.2;3.4;0.0;3.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.4;0.0;0.0;6.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;888.0
Santana do Acaraú;ACUDE SAO VICENTE;-3.3968333333333;-40.262722222222;2022;7;15.4;0.0;0.0;0.0;0.0;0.0;6.6;5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
Santana do Acaraú;ACUDE SAO VICENTE;-3.3968333333333;-40.262722222222;2022;8;22.6;0.0;0.0;0.0;14.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santana do Acaraú;ACUDE SAO VICENTE;-3.3968333333333;-40.262722222222;2022;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Santana do Acaraú;ACUDE SAO VICENTE;-3.3968333333333;-40.262722222222;2022;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
