Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;1;31.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;2;103.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;0.0;53.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;3;77.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;0.0;14.0;0.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;4;257.0;0.0;14.0;0.0;0.0;0.0;36.0;0.0;19.0;0.0;0.0;11.0;20.0;53.0;0.0;0.0;14.0;24.0;0.0;0.0;0.0;18.0;0.0;20.0;0.0;0.0;14.0;0.0;0.0;0.0;14.0;888.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;5;61.0;17.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;6.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2018;12;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2019;1;76.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2019;2;250.0;0.0;0.0;0.0;6.0;10.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;46.0;0.0;11.0;21.0;0.0;0.0;0.0;0.0;80.0;0.0;7.0;36.0;0.0;888.0;888.0;888.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2019;3;328.0;54.0;0.0;25.0;0.0;25.0;0.0;16.0;39.0;27.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;38.0;0.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2019;4;328.0;54.0;0.0;25.0;0.0;0.0;25.0;16.0;39.0;27.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;38.0;888.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2019;5;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;SARGENTO;-4.8419166666667;-37.839361111111;2019;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
