Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;1;77.0;0.0;3.0;0.0;20.0;0.0;9.0;12.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;8.0;11.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;2;104.5;0.0;0.0;5.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;6.0;0.0;0.0;11.0;7.5;30.0;0.0;0.0;0.0;888.0;888.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;3;236.5;17.0;11.0;0.0;0.0;8.0;4.0;0.0;6.0;5.0;24.0;2.5;0.0;0.0;0.0;0.0;17.0;0.0;0.0;7.0;0.0;0.0;30.0;48.0;15.0;7.0;0.0;23.0;0.0;8.0;0.0;4.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;4;166.0;0.0;16.0;9.0;7.0;0.0;0.0;0.0;0.0;14.0;0.0;3.0;0.0;22.0;13.0;14.0;0.0;0.0;9.0;2.0;0.0;0.0;0.0;20.0;24.0;0.0;0.0;0.0;0.0;0.0;13.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;5;112.0;0.0;9.0;3.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;7.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;4.0;0.0;32.0;0.0;0.0;0.0;0.0;20.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;6;94.0;0.0;0.0;8.0;0.0;16.0;3.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;10.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;7;183.0;0.0;0.0;48.0;43.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;8;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;9;21.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;11;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2015;12;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;16.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;1;71.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;27.0;0.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;2;225.0;0.0;0.0;21.0;0.0;24.0;0.0;0.0;17.0;0.0;7.0;0.0;20.0;0.0;17.0;0.0;0.0;0.0;0.0;23.0;7.0;4.0;7.0;0.0;0.0;61.0;0.0;0.0;17.0;888.0;888.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;3;186.0;0.0;8.0;0.0;0.0;14.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;6.0;0.0;41.0;13.0;0.0;0.0;20.0;0.0;16.0;26.0;16.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;4;281.0;0.0;17.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;58.0;0.0;0.0;0.0;0.0;0.0;48.0;56.0;6.0;0.0;0.0;0.0;28.0;0.0;0.0;15.0;0.0;7.0;10.0;23.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;5;155.0;30.0;23.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;22.0;0.0;0.0;35.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;6;37.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;7;44.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;8;25.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;11;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2018;12;140.0;0.0;3.0;2.0;0.0;0.0;0.0;12.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;65.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2019;1;219.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;50.0;18.0;0.0;0.0;0.0;0.0;44.0;21.0;0.0;0.0;18.0;12.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;6.0;8.0;0.0;29.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2019;2;190.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;65.0;0.0;0.0;29.0;0.0;0.0;18.0;0.0;0.0;12.0;20.0;20.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2019;3;323.0;0.0;0.0;25.0;0.0;20.0;25.0;8.0;0.0;0.0;0.0;15.0;13.0;0.0;47.0;13.0;0.0;0.0;0.0;26.0;18.0;6.0;0.0;32.0;0.0;0.0;0.0;20.0;0.0;0.0;20.0;35.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2019;4;205.0;0.0;0.0;0.0;16.0;0.0;0.0;10.0;5.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;34.0;5.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;69.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2019;5;103.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;58.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2019;6;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Pacoti;SITIO PILOES;-4.1798611111111;-38.937388888889;2019;7;94.0;0.0;0.0;0.0;21.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0
