Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2018;4;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.2;888.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2018;5;37.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.4;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2018;6;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2018;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2018;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2018;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2018;10;64.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.2;16.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.3;20.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2018;11;26.2;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;4.2;0.0;0.0;0.0;888.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2018;12;110.4;0.0;0.0;0.0;0.0;0.0;15.2;19.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;59.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2019;1;74.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.6;5.6;0.0;0.0;9.0;5.0;14.0;0.0;7.6;0.0;0.0;0.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2019;2;181.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;85.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;60.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Santana do Cariri;DOM LEME;-7.3068055555556;-39.769888888889;2019;3;222.4;0.0;0.0;2.0;0.0;16.6;0.0;0.0;8.4;13.4;0.0;0.0;24.6;3.0;4.6;7.2;17.2;0.0;5.0;0.0;0.0;0.0;5.2;0.0;34.2;1.0;0.0;7.2;62.8;0.0;0.0;10.0
