Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1988;2;51.0;999.0;0.0;19.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;9.0;999.0;0.0;999.0;0.0;999.0;0.0;23.0;999.0;0.0;999.0;888.0;888.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1988;3;15.0;999.0;999.0;999.0;999.0;0.0;999.0;0.0;0.0;0.0;999.0;0.0;999.0;999.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;999.0;0.0;0.0;999.0;999.0;999.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1988;4;187.0;999.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;0.0;999.0;999.0;47.0;42.0;999.0;999.0;17.0;6.0;0.0;999.0;999.0;999.0;0.0;47.0;0.0;28.0;999.0;888.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1988;5;41.0;999.0;999.0;999.0;0.0;999.0;999.0;0.0;0.0;0.0;999.0;0.0;22.0;0.0;0.0;0.0;16.0;999.0;0.0;0.0;999.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1988;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1988;10;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1988;12;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;999.0;999.0;999.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1989;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;999.0;0.0;0.0;999.0;0.0;0.0;0.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1989;2;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;11.0;0.0;999.0;999.0;0.0;0.0;888.0;888.0;888.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1989;3;34.0;999.0;0.0;34.0;999.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1989;7;0.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
Santa Quitéria;MACARAU;-4.0993333333333;-40.428888888889;1989;8;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;0.0;999.0;999.0;999.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0
